820-3399-A引脚编号网络名称对应表				
引脚编号	X坐标	Y坐标	网络名称	备注
C07	148.29	78.03	PP1V8_GRAPE_SW   	
C08	146.84	79.52	GND              	
C09	148.84	76.67	GND              	
C10	149.22	79.09	GND              	
C11	149.7	80.335	GND              	
D01	141.96	79.21	GPIO_BTN_HOME_L  	
D02	139.45	77.07	PP1V8_EXT_SW     	
D03	140.74	70.03	GND              	
D04	141.64	68.93	PP1V8_SW2        	
D05	141.39	67.24	PP3V3_ACC        	
D08	137.54	67.29	UART0_SOC_RXD    	
D11	123.33	79.26	PP1V2_S2R        	
D12	122.02	74.28	PP3V3_SW         	
D13	123.83	69.43	PP1V8_SW1        	
D14	124.05	77.69	PP1V2_SW1        	
E01	105.84	77.54	PP1V2_SW1        	
E02	103.645	72.57	GND              	
E03	92.6	77.91	UART0_SOC_TXD    	
E04	98.36	70.78	GND              	
E06	92.5	85.83	GND              	
E07	90.83	85.82	GND              	
F01	83.88	85.89	GPIO_FORCE_DFU   	
F03	81.04	86.02	PMU_GPIO_CLK_32K_OSCAR 	
F04	83.65	81.62	PPVDD_SRAM       	
F05	79.67	83.43	PP3V0_S2R_HALL   	
F06	77.5	82.695	PPVDD_SOC        	
F07	72.32	82.66	PP2V9_CAM        	
F08	71.01	82.65	PPVBUS_USB_DCIN  	
F09	71.85	86.8	PP3V0_S2R_SENSOR 	
F10	70.76	85.83	PP1V2_S2R_SW2    	
F11	65.96	85.84	PP1V8_S2R_SW3    	
F12	82.061	82.891	PP3V0_UVLO       	
F13	84.34	83.52	SOCHOT0_R_L      	
G01	86	78.945	PPVDD_GPU        	
G02	85.3	75.27	PPVDD_CPU        	
G03	87.735	71.615	PP1V0_SOC        	
G04	84.965	69.035	PP1V8_ALWAYS     	
G05	78.56	69.96	PP1V3_CAM        	
G06	75.89	78.2	PP3V0_S2R_TRISTAR 	
G07	74.655	78.5	PP2V6_CAM_AF     	
G08	72.47	76.55	PP3V0_ALS        	
G10	74.14	69.96	PPVCC_MAIN       	
G11	66.905	61.635	GND              	
H01	67.3	77.45	PP6V0_LCM_VBOOST 	
H02	63.765	79.11	BATT_NTC         	
H03	62.98	77.35	GPIO_BTN_SRL_L   	
H04	61.94	78.215	GPIO_BTN_ONOFF_L 	
H05	60.64	78.24	PP_LDO6_RUIM_1V8 	
H06	59.1	74.8	GND              	
H07	58.809	86.31	GPIO_BTN_VOL_UP_L 	
H08	55.904	86.386	GPIO_BTN_VOL_DOWN_L 	
H09	51.78	86.27	PP3V0_GYRO       	
H10	50.81	80.49	PP3V0_ACCEL      	
H11	68.1	78.42	PP3V0_SPARE1     	
I01	65.72	72.84	PPLED_OUT_B      	
I02	62.47	73.356	PP1V8_S2R        	
I03	66.34	69.02	GND              	
I04	64.16	68.8	GND              	
I05	65.72	67.24	GND              	
I08	61.55	65.255	GND              	
I09	57.92	72.76	GND_AUDIO_CODEC  	
I10	57.895	71.465	PPBATT_VCC       	
I11	58.56	70.31	BATT_SWI_CONN    	
I12	56.36	69.65	PP1V7_VA_VCP     	
I13	54.34	70.43	PP1V7_VCP        	
I15	51.96	67.94	PPBATT_VCC       	
I16	50.11	68.17	PPBATT_VCC       	
I17	50.81	66.39	PPBATT_VCC       	
I18	55.31	65.255	PPBATT_VCC       	
I19	51.255	61.635	GND              	
J01	46.49	80.17	GND              	
J02	46.785	77.13	PP1V8_SW1_FOREHEAD 	
J03	43.425	79.25	PP_RF1_1V8_DIG   	
J07	43.26	62.73	PP_SMPS5_DSP_1V05 	
J08	42.22	62.73	PP_LDO1          	
J10	36.38	70.76	PP_SMPS2_RF1_1V3 	
J11	33.62	75.64	PP_SMPS1_MSMC_1V05 	
K14	2.8	80.2	PP2V9_AVDD_CAM_REAR_FILT 	
K15	1.125	81.01	PP2V6_CAM_REAR_AF_FILT 	
K16	2.13	79.09	PP1V8_CAM_REAR_FILT 	
K17	1.2	77.92	PP1V3_CAM_REAR_FILT 	
K18	1.49	74.44	PP1V8_S2R_SW3_COMP 	
K20	3.64	70.55	PP3V0_SENSOR_PROX_AD7149_FILT 	
L01	-1.32	47.88	PP3V0_S2R_SENSOR 	
L03	-2.49	44.84	PP1V8_COMP       	
L04	-1.93	35.345	PP2V9_AVDD_CAM_FRONT_FILT 	
L05	-1.35	34.2	PP1V8_CAM_FRONT_FILT 	
L06	0.76	33.23	PP3V0_ALS_FILT   	
L07	-1.69	28.37	CONN_HP_RIGHT_FILT 	
L08	-1.21	27.16	CONN_HP_LEFT_FILT 	
L09	0.295	26.265	CONN_HP_HS4_REF_FILT 	
L10	1	25.205	CONN_HP_HS3_FILT 	
L11	0.275	23.5	CONN_HP_HS3_REF_FILT 	
L12	-1.74	25.82	CONN_HP_HS4_FILT 	
L13	-0.485	3.5	PP1V8_DMIC_FILT  	
L14	0.33	28.43	CONN_HP_HEADSET_DET_FILT 	
L15	-0.355	7.51	DMIC1_FF_SCLK_FILT 	
共计146个TestPoint,146根针				
